gid_0,outcome,predicted,predicted_error,date
KIR,mobile_fm_ratio,0.949,0.042,2024-06
KIR,mobile_women,0.648,0.959,2024-06
KIR,mobile_men,0.655,0.084,2024-06
KHM,internet_fm_ratio,0.896,0.045,2024-06
KHM,internet_women,0.581,0.542,2024-06
KHM,internet_men,0.703,0.415,2024-06
KHM,mobile_fm_ratio,0.927,0.038,2024-06
KHM,mobile_women,0.785,1.57,2024-06
KHM,mobile_men,0.791,0.082,2024-06
KGZ,internet_fm_ratio,0.97,0.051,2024-06
KGZ,internet_women,0.713,0.601,2024-06
KGZ,internet_men,0.808,0.46,2024-06
